"River_Basin_Area","Water_Object","Station_Number"," Station_Location","Opening_Year","Monitoring_Type","Longitude_Original","Latitude_Original","Longitude","Latitude"
"Սևան","Arpa-Sevan Tunnel","68","0.7 կմ գյ. Ծովինարից վերև",1977,"Գործառնական","45° 29' 41.646"" E","40° 9' 22.204"" N",45.494902,40.156168
"Սևան","Vardenis","69","0.5 կմ գյ. Վարդենիկից վերև",1993,"Հղումային","45° 26' 39.582"" E","40° 7' 53.634"" N",45.444328,40.131565
"Սևան","Vardenis","70","Գետաբերան",1977,"Գործառնական","45° 26' 21.804"" E","40° 9' 16.472"" N",45.43939,40.154575
"Սևան","Martuni","71","0.5 կմ գյ. Գեղհովիտից վերև",1993,"Հղումային","45° 17' 38.567"" E","40° 4' 42.837"" N",45.294046,40.078566
"Սևան","Martuni","72","Գետաբերան",1977,"Գործառնական","45° 18' 0.478"" E","40° 9' 2.158"" N",45.300133,40.150599
"Սևան","Argitchi","73","0.5 կմ գյ. Լեռնահովիտից վերև",1994,"Հղումային","45° 14' 12.624"" E","40° 1' 57.448"" N",45.23684,40.032625
"Սևան","Argitchi","74","Գետաբերան",1964,"Գործառնական","45° 16' 4.590"" E","40° 9' 20.474"" N",45.267942,40.155687
"Սևան","Tsakkar","75","Գետաբերան",1980,"Գործառնական","45° 13' 53.929"" E","40° 10' 48.885"" N",45.231647,40.180246
"Սևան","Shoghvag","76","Գետաբերան",1993,"Գործառնական","45° 13' 38.156"" E","40° 11' 8.213"" N",45.227265,40.185615
"Սևան","Gavaraget","77","0.5 կմ գյ. Ծաղկաշենից վերև",1993,"Հղումային","45° 2' 32.488"" E","40° 17' 35.769"" N",45.042358,40.293269
"Սևան","Gavaraget","78","Գետաբերան",1977,"Գործառնական","45° 10' 34.273"" E","40° 21' 50.349"" N",45.176187,40.363986
"Արարատյան","Vedi","80","0.5 կմ գյ. Ուրցաձորից վերև",1977,"Հղումային","44° 52' 16.875"" E","39° 56' 41.950"" N",44.871354,39.944986
